order_id,gender_category,product_line,product_name,size,units_sold,price,discount_applied,revenue,order_date,sales_channel,region,profit
2362,Women,Lifestyle,Blazer Mid,4,2.0,5995.4456451612905,1.04,0.0,2024-12-09,Online,Bangalore,3817.26
2367,Kids,Lifestyle,Dunk Low,4,4.0,6202.99,0.84,3969.91,2024-11-12,Online,Bangalore,-202.12
2369,Men,Basketball,LeBron 20,4,0.0,4248.21,0.5,0.0,2025-07-11,Online,Hyderabad,2427.86
2370,Men,Running,Pegasus Turbo,3,2.0,6047.902291666666,0,0.0,2025-02-04,Online,Delhi,867.37
2006,Women,Basketball,Zoom Freak,3,-1.0,8799.22,0,0.0,2023-08-13,Retail,Bangalore,-1109.57
2378,Women,Basketball,LeBron 20,4,-1.0,6092.007142857143,0,0.0,2024-11-04,Retail,Mumbai,2107.42
2379,Men,Lifestyle,Air Force 1,3,4.0,6194.755901639345,0,0.0,2024-04-09,Online,Mumbai,3289.77
2380,Men,Soccer,Phantom GT,2,1.0,7932.85,0,0.0,2024-12-09,Retail,Delhi,2707.27
2381,Kids,Lifestyle,Dunk Low,2,3.0,4834.65,1.02,-290.08,2024-10-12,Retail,Pune,213.96
2382,Men,Lifestyle,Waffle One,3,4.0,5619.815833333333,0,0.0,2024-03-09,Retail,Mumbai,787.42
2388,Kids,Running,Air Zoom,3,1.0,5321.46,0,0.0,2024-09-02,Retail,Bangalore,2587.26
2389,Women,Basketball,Kyrie Flytrap,4,0.0,7901.16,0.77,0.0,2024-10-08,Online,Delhi,-406.39
2390,Kids,Lifestyle,Waffle One,4,-1.0,5619.815833333333,0,0.0,2025-05-24,Online,Delhi,496.54
2002,Women,Training,ZoomX Invincible,4,4.0,6820.42,0,0.0,2024-10-03,Retail,Kolkata,3842.85
2395,Kids,Soccer,Premier III,4,1.0,5879.875,0,0.0,2025-07-08,Online,Pune,85.0
2399,Women,Running,Air Zoom,3,-1.0,6188.29,0,0.0,2024-08-07,Retail,Pune,515.6
2025,Kids,Training,ZoomX Invincible,4,4.0,6743.07,0,0.0,2024-10-09,Online,Pune,-277.41
2405,Men,Basketball,Kyrie Flytrap,6,1.0,5620.632222222222,0,0.0,2024-11-17,Online,Kolkata,69.95
2406,Men,Training,Metcon 7,3,4.0,6458.72,0,0.0,2023-09-17,Online,Mumbai,402.0
2408,Men,Soccer,Premier III,4,1.0,5879.875,0,0.0,2024-10-09,Retail,Bangalore,1731.86
2025,Men,Lifestyle,Blazer Mid,3,1.0,8903.17,0,0.0,2025-03-27,Retail,Kolkata,3808.81
2412,Kids,Lifestyle,Blazer Mid,4,1.0,4920.3,0.14,4231.46,2025-03-27,Retail,Mumbai,1135.72
2413,Men,Training,Flex Trainer,4,3.0,7005.67,0.15,17864.46,2025-03-27,Retail,Kolkata,2329.98
2415,Women,Running,Free RN,8,3.0,6178.39,0,0.0,2024-07-22,Retail,Bangalore,73.75
2416,Kids,Soccer,Mercurial Superfly,9,3.0,6245.23,1.15,-2810.35,2024-12-14,Retail,Mumbai,3485.64
2421,Women,Running,React Infinity,2,2.0,8136.39,0,0.0,2025-03-10,Retail,Pune,3398.15
2428,Kids,Basketball,Kyrie Flytrap,12,2.0,5620.632222222222,0,0.0,2024-12-07,Retail,Mumbai,427.51
2430,Women,Soccer,Tiempo Legend,12,3.0,5638.320256410257,0.1,0.0,2025-07-09,Online,Pune,215.3
2431,Women,Lifestyle,Blazer Mid,3,1.0,5995.4456451612905,0,0.0,2024-11-15,Online,Hyderabad,1627.78
2432,Women,Basketball,Zoom Freak,3,1.0,3036.61,0.86,425.13,2024-10-26,Online,Mumbai,3754.3
2434,Kids,Training,Metcon 7,2,-1.0,3019.25,0.79,-634.04,2025-02-11,Online,Hyderabad,387.15
2436,Kids,Basketball,LeBron 20,8,0.0,6092.007142857143,0.81,0.0,2024-04-01,Online,Bangalore,2213.84
2437,Women,Running,Pegasus Turbo,4,3.0,6047.902291666666,0.53,0.0,2024-07-31,Retail,Hyderabad,-281.42
2439,Men,Lifestyle,Blazer Mid,3,-1.0,3239.59,0,0.0,2025-03-03,Retail,Bangalore,3467.1
2440,Women,Basketball,Kyrie Flytrap,4,-1.0,7510.8,0,0.0,2024-11-12,Retail,Kolkata,2989.6
2443,Women,Basketball,LeBron 20,2,1.0,6271.66,0,0.0,2025-03-15,Retail,Mumbai,2449.43
2444,Women,Lifestyle,Blazer Mid,4,3.0,3676.04,0,0.0,2025-05-25,Retail,Pune,1621.74
2003,Women,Lifestyle,Waffle One,4,2.0,8516.45,0.22,13285.66,2023-09-30,Online,Kolkata,1764.52
2456,Women,Soccer,Premier III,2,0.0,4254.68,0,0.0,2025-03-15,Retail,Kolkata,3498.64
2460,Women,Basketball,Zoom Freak,4,2.0,5482.96,0.35,7127.85,2024-11-04,Online,Kolkata,-823.8
2464,Women,Lifestyle,Blazer Mid,4,3.0,2699.59,0,0.0,2024-06-30,Retail,Hyderabad,3507.56
2465,Kids,Lifestyle,Blazer Mid,7,1.0,7814.02,0,0.0,2025-03-22,Retail,Pune,684.07
2467,Kids,Training,SuperRep Go,2,1.0,8484.82,0,0.0,2023-11-05,Online,Mumbai,1899.54
2468,Women,Soccer,Phantom GT,7,0.0,6012.23,0.62,0.0,2024-10-26,Retail,Bangalore,-1113.25
2469,Men,Training,Metcon 7,4,4.0,6019.014594594595,1.08,0.0,2025-05-21,Retail,Mumbai,-279.26
2475,Men,Running,Free RN,3,2.0,6094.6030612244895,1.06,0.0,2025-01-07,Online,Bangalore,3885.97
2481,Women,Soccer,Premier III,7,1.0,9145.37,0.07,8505.19,2025-04-17,Online,Pune,1755.19
2487,Men,Running,Air Zoom,3,3.0,5881.13,0.8,3528.68,2025-03-31,Online,Hyderabad,2108.4
2488,Kids,Running,Free RN,6,4.0,6387.51,0,0.0,2025-03-31,Retail,Kolkata,300.76
2490,Women,Soccer,Premier III,3,3.0,5015.19,0.75,3761.39,2024-11-26,Online,Hyderabad,-494.53
2496,Kids,Running,React Infinity,2,2.0,4110.72,0.32,5590.58,2024-12-24,Retail,Bangalore,3894.95
2497,Kids,Basketball,Air Jordan,4,1.0,6064.126491228069,0,0.0,2023-11-29,Online,Mumbai,2592.98
2502,Women,Basketball,Kyrie Flytrap,2,0.0,5620.632222222222,0,0.0,2023-09-10,Retail,Mumbai,2412.82
2503,Women,Training,ZoomX Invincible,4,-1.0,6594.948909090909,0,0.0,2025-01-20,Online,Bangalore,-173.16
2507,Men,Soccer,Phantom GT,3,2.0,6263.1849999999995,0,0.0,2024-03-13,Retail,Hyderabad,2116.53
2508,Kids,Soccer,Premier III,4,1.0,5879.875,1.16,0.0,2024-03-13,Retail,Kolkata,1811.51
2513,Women,Basketball,Zoom Freak,4,4.0,9848.8,0,0.0,2024-10-11,Online,Pune,2764.66
2514,Kids,Basketball,Air Jordan,2,1.0,6064.126491228069,0,0.0,2025-05-26,Online,Bangalore,1790.41
2517,Men,Lifestyle,Air Force 1,7,1.0,3059.89,0,0.0,2024-01-21,Online,Hyderabad,1968.82
2521,Kids,Lifestyle,Blazer Mid,2,4.0,3645.35,0,0.0,2024-09-25,Online,Kolkata,3265.83
2522,Men,Running,Pegasus Turbo,4,4.0,6243.91,0,0.0,2024-02-13,Retail,Kolkata,-199.13
2525,Women,Training,Metcon 7,4,2.0,6019.014594594595,0,0.0,2025-02-18,Retail,Kolkata,3453.18
2526,Kids,Lifestyle,Waffle One,10,1.0,5619.815833333333,0,0.0,2024-08-01,Retail,Hyderabad,3188.07
2528,Women,Training,ZoomX Invincible,11,2.0,6594.948909090909,0,0.0,2025-06-10,Online,Delhi,134.1
2530,Women,Lifestyle,Dunk Low,2,2.0,4357.79,0,0.0,2025-02-27,Retail,Mumbai,3936.13
2535,Men,Soccer,Tiempo Legend,4,2.0,2786.84,0.21,4403.21,2025-01-25,Online,Mumbai,3345.36
2547,Women,Soccer,Mercurial Superfly,2,1.0,3068.13,0,0.0,2025-07-08,Retail,Kolkata,-586.29
